Key,Type,Desc,Українська
dev_event_general_goods_trader_small,Text,,"Продавець"
dev_event_group_AnimalBearSingle,Text,,"Ведмідь"
dev_event_group_AnimalDomesticSingle,Text,,"Домашня тварина"
dev_event_group_AnimalMiscSmall,Text,,"Група тварин"
dev_event_group_AnimalRaid,Text,,"Набіг тварин"
dev_event_group_AnimalWildLarge,Text,,"Велика дика тварина"
dev_event_group_Blight,Text,,"Заражені врожаї"
dev_event_group_Coldsnap,Text,,"Різке похолодання"
dev_event_group_Hailstorm,Text,,"Град"
dev_event_group_Heatwave,Text,,"Спека"
dev_event_group_Merchantgeneral,Text,,"Підступний торговець"
dev_event_group_Merchantprisoner,Text,,"Торгівець полоненими"
dev_event_group_Merchantrare,Text,,"Караван торговців"
dev_event_group_Newworker,Text,,"Новий поселенець"
dev_event_group_Raid,Text,,"Набіг"
dev_event_group_Runaway,Text,,"Втеча поселенця"
dev_event_group_Thunderstorm,Text,,"Гроза"
dev_event_group_Visitor,Text,,"Одиночний мандрівник"
dev_event_group_VisitorRole,Text,,"Дружній візит"
dev_event_hailstorm,Text,,"Град"
dev_event_heat_wave,Text,,"Теплова хвиля"
dev_event_influence_100,Text,,"Золота ера"
dev_event_influence_20,Text,,"Вплив зростає"
dev_event_interaction_chance_always,Text,,"Шанс взаємодії з подією: 100%"
dev_event_interaction_chance_default,Text,,"Скинути шанс взаємодії з подією"
dev_event_new_worker,Text,,"Новий поселенець"
dev_event_new_worker_hungry,Text,,"Голод приходить"
dev_event_new_worker_sick,Text,,"І це теж пройде"
dev_event_new_worker_wounded,Text,,"Безпечне укриття"
dev_event_new_worker_wounded_02,Text,,"Не те дерево"
dev_event_priest_visitor,Text,,"Священник"
dev_event_prisoner_merchant,Text,,"Торгівець полоненими"
dev_event_raid_new,Text,,"Набіг"
dev_event_runaway_new,Text,,"Жорстокі рекетири"
dev_event_season_start_autumn,Text,,"Початок осені"
dev_event_season_start_spring,Text,,"Початок весни"
dev_event_season_start_summer,Text,,"Початок літа"
dev_event_season_start_winter,Text,,"Початок зими"
dev_event_shakedown,Text,,"Вимагання"
dev_event_shaman_visitor,Text,,"Шаман"
dev_event_spawn,Text,,"Виберіть подію для виникнення:"
dev_event_thunderstorm,Text,,"Гроза"
dev_event_trader_rare,Text,,"Торгівець рідкісними товарами"
dev_event_trader_visitor,Text,,"Одиночний мандрівник"
dev_event_trader_weapons,Text,,"Торгівець зброєю"
dev_event_wolf_raid,Text,,"Люті вовки"
dev_events,Text,,"Події"
dev_events_seasons_and_weather,Text,,"Сезони та Погода"
dev_faction_friendliness,Text,,"Виберіть фракцію..."
dev_faction_modify_friendliness,Text,,"...потім встановіть Відношення + / - 10."
dev_faction_name_tooltip,Text,,"При натисканні встановлює фракцію для NPC"
dev_faction_set_friendliness,Text,,"Встановити Відношення фракції"
dev_faint_worker,Text,,"Знепритомнілий поселенець"
dev_force_exception,Text,,"Примусово викликати виключення"
dev_friendliness_minus,Text,,"Відношення -10"
dev_friendliness_plus,Text,,"Відношення +10"
dev_gender_female,Text,,"Стать: Жіноча"
dev_gender_male,Text,,"Стать: Чоловіча"
dev_general_actions,Text,,"Загальні дії"
dev_inflict_wound,Text,,"Виберіть рану для нанесення:"
dev_instant_dig_off,Text,,"Миттєве копання: Вимкнено"
dev_instant_dig_on,Text,,"Миттєве копання: Увімкнено"
dev_kill_all_animals,Text,,"Вбити всіх тварин"
dev_kill_all_enemies,Text,,"Вбити всіх ворогів"
dev_kill_all_fish,Text,,"Вбити всю рибу"
dev_kill_all_piles,Text,,"Знищити всі купи"
dev_kill_all_plants,Text,,"Знищити всі рослини"
dev_ladder_falldown,Text,,"Штовхнути поселенця з драбини"
dev_make_npc_leave,Text,,"Вигнати NPC"
dev_map,Text,,"Карта"
dev_mark_animals_for_attack,Text,,"Позначити тварин для полювання"
dev_mark_for_roping,Text,,"Позначити для прив'язки"
dev_mark_workers_for_attack,Text,,"Атакувати поселенців"
dev_marketing_mode,Text,,"Режим маркетингу"
dev_menu_combat,Text,,"Бої"
dev_mining_speed_10,Text,,"Швидкість видобутку: ×10"
dev_mining_speed_reset,Text,,"Скинути швидкість видобутку"
dev_npc_behaviour_select,Text,,"Виберіть тип поведінки NPC для встановлення:"
dev_npc_faction_select,Text,,"Виберіть фракцію для зміни"
dev_particle_DustParticles,Text,,"Пил 2"
dev_particle_arrowbreak,Text,,"Ламання стріли"
dev_particle_arrowmiss,Text,,"Промах стріли"
dev_particle_barley_death,Text,,"Загибель ячменю"
dev_particle_bear_dirt_left_footprint,Text,,"Лівий слід ведмедя"
dev_particle_bear_dirt_right_footprint,Text,,"Правий слід ведмедя"
dev_particle_beet_death,Text,,"Загибель буряка"
dev_particle_blood_splat,Text,,"Пляма крові"
dev_particle_blueprint_placed,Text,,"План розміщено"
dev_particle_boar_dirt_left_footprint,Text,,"Лівий слід кабана"
dev_particle_boar_dirt_right_footprint,Text,,"Правий слід кабана"
dev_particle_build_finished_particles,Text,,"Будівництво завершено"
dev_particle_build_particles,Text,,"Частинки будівництва"
dev_particle_building_hit,Text,,"Удар по будівлі"
dev_particle_buzzard_flying_over,Text,,"Пір'я літають"
dev_particle_cabbage_death,Text,,"Загибель капусти"
dev_particle_carrots_death,Text,,"Загибель моркви"
dev_particle_cold_particles,Text,,"Холод"
dev_particle_cow_dirt_footprint,Text,,"Слід корови"
dev_particle_crithit,Text,,"Критичний удар"
dev_particle_crows_circling,Text,,"Ворони кружляють"
dev_particle_crows_flying_straight,Text,,"Ворони летять"
dev_particle_crows_scare,Text,,"Лякати ворон"
dev_particle_deer_dirt_footprint,Text,,"Слід оленя"
dev_particle_destroy_banner,Text,,"Знищення прапора"
dev_particle_destroy_book_shelf,Text,,"Знищення книжкової полиці"
dev_particle_destroy_building,Text,,"Знищення будівлі"
dev_particle_destroy_clay_brick_wall,Text,,"Знищення стіни з глиняних цеглин"
dev_particle_destroy_clay_roof,Text,,"Знищення глиняного даху"
dev_particle_destroy_clay_wall,Text,,"Знищення глиняної стіни"
dev_particle_destroy_grated_door,Text,,"Знищення решітки дверей"
dev_particle_destroy_ground,Text,,"Знищення землі"
dev_particle_destroy_hay_roof,Text,,"Знищення солом'яного даху"
dev_particle_destroy_iron_torch,Text,,"Знищення залізного факела"
dev_particle_destroy_liimestone_wall,Text,,"Знищення стіни з вапняку"
dev_particle_destroy_limestone_block_wall,Text,,"Знищення стіни з вапняних блоків"
dev_particle_destroy_limestone_roof,Text,,"Знищення вапняного даху"
dev_particle_destroy_pottery_shelf,Text,,"Знищення полиці для посуду"
dev_particle_destroy_reinforced_wood_door,Text,,"Знищення укріплених дерев'яних дверей"
dev_particle_destroy_wicker_floor,Text,,"Знищення плетеного підлоги"
dev_particle_destroy_wicker_roof,Text,,"Знищення плетеного даху"
dev_particle_destroy_wood_floor,Text,,"Знищення дерев'яної підлоги"
dev_particle_destroy_wood_roof,Text,,"Знищення дерев'яного даху"
dev_particle_destroy_wood_torch,Text,,"Знищення дерев'яного факела"
dev_particle_destroy_wood_wall,Text,,"Знищення дерев'яної стіни"
dev_particle_dog_dirt_footprint,Text,,"Слід собаки"
dev_particle_donkey_dirt_footprint,Text,,"Слід осла"
dev_particle_drunk,Text,,"П'яний"
dev_particle_ducks_flying_straight,Text,,"Качки летять"
dev_particle_dust,Text,,"Пил"
dev_particle_eating,Text,,"Їсть"
dev_particle_flax_death,Text,,"Загибель льону"
dev_particle_footsteps_dust,Text,,"Пил від кроків"
dev_particle_footsteps_grass_dust,Text,,"Пил від кроків на траві"
dev_particle_footsteps_snow_dust,Text,,"Пил від кроків на снігу"
dev_particle_footsteps_wet_splash,Text,,"Плоскі сліди в воді"
dev_particle_geese_flying_straight,Text,,"Гусі летять"
dev_particle_grass,Text,,"Трава"
dev_particle_hammer_sparks,Text,,"Іскри від молота"
dev_particle_hay_pickup,Text,,"Підбір сіна"
dev_particle_herbs_death,Text,,"Загибель трав"
dev_particle_hot_particles,Text,,"Спекотно"
dev_particle_mushroom_death,Text,,"Загибель грибів"
dev_particle_paint_splats,Text,,"Плями фарби"
dev_particle_pigeons_flying_straight,Text,,"Голуби летять"
dev_particle_pigeons_scare,Text,,"Лякати голубів"
dev_particle_pinned,Text,,"Пригноблений"
dev_particle_production_finished_particles,Text,,"Виробництво завершено"
dev_particle_rebelious,Text,,"Бунтівний"
dev_particle_shearing,Text,,"Обрізання"
dev_particle_sheep_dirt_footprint,Text,,"Слід овець"
dev_particle_shrub_destroy,Text,,"Зрізання куща"
dev_particle_skillup_particles,Text,,"Підвищення рівня навички"
dev_particle_spawn_pile,Text,,"Куча для виникнення"
dev_particle_stone,Text,,"Камінь"
dev_particle_stylized_dust,Text,,"Стилізований пил"
dev_particle_system,Text,,"Виберіть систему частинок для виникнення:"
dev_particle_tame_hearts,Text,,"Серця приручення"
dev_particle_trainsuccess,Text,,"Навчання успішне"
dev_particle_trap_activate,Text,,"Активація пастки"
dev_particle_trebuchehit,Text,,"Удар через требучет"
dev_particle_tree_fall_birch,Text,,"Падіння березового дерева"
dev_particle_tree_shake_apple,Text,,"Тряска яблучного дерева"
dev_particle_tree_shake_birch,Text,,"Тряска березового дерева"
dev_particle_tree_shake_branches,Text,,"Тряска гілок"
dev_particle_tree_shake_maple,Text,,"Тряска кленового дерева"
dev_particle_tree_shake_oak,Text,,"Тряска дуба"
dev_particle_tree_shake_pine,Text,,"Тряска сосни"
dev_particle_tree_shake_plane,Text,,"Тряска платанового дерева"
dev_particle_vegetables_chopp,Text,,"Різка овочів"
dev_particle_water_ripple,Text,,"Розриви води"
dev_particle_water_splash,Text,,"Вибух води"
dev_particle_weapon_hit,Text,,"Удар зброї"
dev_particle_wood,Text,,"Дерево"
dev_particle_wood_chips,Text,,"Дерев'яні тріски"
dev_particle_worker_dirt_left_footprint,Text,,"Лівий слід поселенця (пісок)"
dev_particle_worker_dirt_right_footprint,Text,,"Правий слід поселенця (пісок)"
dev_particle_worker_snow_left_footprint,Text,,"Лівий слід поселенця (сніг)"
dev_particle_worker_snow_right_footprint,Text,,"Правий слід поселенця (сніг)"
dev_pathfining,Text,,"Шляховий пошук"
dev_pet,Text,,"Встановити улюбленця"
dev_pet_animals,Text,,"Улюблені тварини"
dev_piles,Text,,"Ресурси та предмети"
dev_plant_next_phase,Text,,"Примусово змінити фазу рослини на точці"
dev_pregnant,Text,,"Встановити вагітну тварину"
dev_production_speed_max,Text,,"Швидкість виробництва: Максимум"
dev_production_speed_normal,Text,,"Швидкість виробництва: Нормально"
dev_random_item,Text,,"Випадкові предмети"
dev_recount_haul_piles,Text,,"Перерахувати купи ресурсів"
dev_recount_piles,Text,,"Перерахувати купи"
dev_refresh_nodes,Text,,"Оновити всі вузли"
dev_remove_all_attack_marks,Text,,"Видалити мітки атак"
dev_remove_warning,Text,,"Видалити попередження"
dev_remove_worker,Text,,"Видалити поселенця"
dev_reset_animal_timers,Text,,"Скинути таймери приручення/тренування"
dev_reset_trap,Text,,"Скинути пастку"
dev_reset_workers,Text,,"Скинути поселенців"
dev_schedule_event_group,Text,,"Запланувати подію з групи"
dev_select_dropdown,Text,,"Змінити навичку на:"
dev_select_event_group,Text,,"Вибрати групу подій для запланування:"
dev_select_fish,Text,,"Вибрати рибу для виникнення:"
dev_select_item,Text,,"Вибрати предмет для спавну по кліку миші"
dev_select_item_quality,Text,,"Вибрати якість предмета"
dev_select_plant,Text,,"Вибрати рослину для спавну:"
dev_select_resource,Text,,"Вибрати ресурс для спавну:"
dev_select_resourceCtg,Text,,"Вибрати категорію ресурсів для спавну:"
dev_select_skill,Text,,"Вибрати навичку для зміни"
dev_set_freshness_0,Text,,"Свіжість = 0"
dev_set_freshness_1,Text,,"Свіжість = 1"
dev_set_freshness_100,Text,,"Свіжість = 100"
dev_set_health_0,Text,,"Здоров'я = 0"
dev_set_health_1,Text,,"Здоров'я = 1"
dev_set_health_100,Text,,"Здоров'я = 100"
dev_set_low_fuel,Text,,"Встановити низький рівень пального на точці"
dev_set_mood_minus_10,Text,,"Настрій -10"
dev_set_mood_plus_10,Text,,"Настрій +10"
dev_set_npc_behaviour,Text,,"Встановити поведінку NPC"
dev_set_npc_faction,Text,,"Встановити фракцію NPC"
dev_set_worker_hunger_1,Text,,"Голод тварини: Помирає від голоду"
dev_set_worker_hunger_100,Text,,"Голод тварини: Насичено"
dev_set_worker_hunger_50,Text,,"Голод тварини: Голодна"
dev_set_worker_hunger_minus_100,Text,,"Голод поселенця: Лютий голод"
dev_set_worker_sleep,Text,,"Встановити сон тварини"
dev_set_worker_sleep_1,Text,,"Сон тварини: Втомлене"
dev_set_worker_sleep_100,Text,,"Сон тварини: Добре відпочило"
dev_set_worker_sleep_50,Text,,"Сон тварини: Стомлене"
dev_set_worker_stats,Text,,"Встановити статистику поселенця"
dev_spawn_animal,Text,,"Спавн тварини"
dev_spawn_bard_visitor,Text,,"Спавн барда"
dev_spawn_blank_npc,Text,,"Спавн порожнього NPC"
dev_spawn_enemy,Text,,"Спавн 1x ворога"
dev_spawn_event,Text,,"Запуск події"
dev_spawn_fish,Text,,"Спавн риби на точці"
dev_spawn_item,Text,,"Спавн предмета на точці"
dev_spawn_particle_system,Text,,"Спавн системи часток"
dev_spawn_plant,Text,,"Спавн рослини на точці"
dev_spawn_random_raid,Text,,"Спавн простого набігу"
dev_spawn_resource,Text,,"Спавн ресурсу"
dev_spawn_resource_ctg,Text,,"Спавн всього з категорії"
dev_spawn_trader,Text,,"Спавн торговця"
dev_spawn_trader_with_bodyguards,Text,,"Спавн торговця з охороною"
dev_spawn_trebuchet,Text,,"Спавн требучету на точці"
dev_spawn_worker_1,Text,,"Спавн одного поселенця"
dev_spawn_worker_10,Text,,"Спавн 10 поселенців"
dev_start_planer,Text,,"Запустити планер"
dev_stat_0,Text,,"Статистика = 0"
dev_stat_100,Text,,"Статистика = 100"
dev_stat_25,Text,,"Статистика = 25"
dev_stat_50,Text,,"Статистика = 50"
dev_stat_75,Text,,"Статистика = 75"
dev_structure_preset_panel,Text,,"Панель попередніх структур"
dev_thunder,Text,,"Гроза на точці"
dev_toggle_air_nodes,Text,,"Перемикати вузли повітряної сітки"
dev_toggle_all_debug,Text,,"Перемикати все"
dev_toggle_altCamera_off,Text,,"Альтернативна камера: Вимкнено"
dev_toggle_altCamera_on,Text,,"Альтернативна камера: Увімкнено"
dev_toggle_combat_damage_popup,Text,,"Перемикати спливаючі цифри бою"
dev_toggle_ground_nodes,Text,,"Перемикати вузли наземної сітки"
dev_toggle_invurnelability,Text,,"Перемикати невразливість тварин"
dev_toggle_invurnelability_off,Text,,"Зробити всіх поселенців невразливими"
dev_toggle_invurnelability_on,Text,,"Зробити всіх поселенців вразливими"
dev_toggle_pathing_lines,Text,,"Перемикати лінії шляху"
dev_toggle_player_voxel_info,Text,,"Перемикати інформацію про гравця"
dev_toggle_positionining_box,Text,,"Перемикати коробку позиціонування"
dev_toggle_proximity_debug,Text,,"Перемикати наближеність"
dev_toggle_recheability_debug,Text,,"Перемикати досяжність"
dev_toggle_regions,Text,,"Перемикати регіони"
dev_toggle_relocate_debug,Text,,"Перемикання переміщення купи"
dev_toggle_structure_preset_panel,Text,,"Перемикання панелі пресетів будівель"
dev_toggle_ui_off,Text,,"Інтерфейс: Увімкнено"
dev_toggle_ui_on,Text,,"Інтерфейс: Вимкнено"
dev_tooltip_10_mining_speed,Text,,"Встановлює швидкість видобутку на ×10"
dev_tooltip_activate_all_research,Text,,"Перемикає розблокування всіх досліджень"
dev_tooltip_add_xp_to_skill,Text,,"Додає або забирає XP з навички при натисканні миші."
dev_tooltip_air_grid_nodes,Text,,"Перемикає візуалізацію нод для сітки повітря"
dev_tooltip_animal,Text,,"Спавнить обраного тварину як дику при натисканні миші."
dev_tooltip_animal_domestic,Text,,"Спавнить обрану домашню тварину при натисканні миші."
dev_tooltip_animal_pet,Text,,"Спавнить обрану тварину як домашнього улюбленця при натисканні миші."
dev_tooltip_autoconstruct,Text,,"Перемикає між миттєвим та звичайним будівництвом"
dev_tooltip_create_warning_messages,Text,,"Створює випадкові попереджувальні повідомлення."
dev_tooltip_crop_next_phase,Text,,"Переводить обрану рослину на наступну фазу росту."
dev_tooltip_damage_voxel,Text,,"Пошкоджує вокселі навколо курсора в діапазоні при натисканні миші."
dev_tooltip_deal_damage,Text,,"Завдає 15 шкоди об'єкту при натисканні (крім вокселів)."
dev_tooltip_destroy_pile,Text,,"Знищує купу при натисканні миші."
dev_tooltip_enemy,Text,,"Спавнить вибраного ворога при натисканні миші."
dev_tooltip_event_group,Text,,"Запланувати випадкову подію з вибраної групи"
dev_tooltip_faction,Text,,"Виберіть фракцію, яку ви хочете змінити за альянсом."
dev_tooltip_faction_set_friendliness,Text,,"Змінює альянс фракції."
dev_tooltip_faint_worker,Text,,"Знепритомнює поселенця при натисканні миші"
dev_tooltip_finish_animal_production,Text,,"Примусово завершує виробництво тварини при натисканні миші."
dev_tooltip_fish,Text,,"Спавнить вибрану рибу при натисканні миші"
dev_tooltip_force_crop_harvest_phase,Text,,"Примусово переводить рослину в фазу збирання після посадки."
dev_tooltip_force_exception,Text,,"Примусово створює виняток."
dev_tooltip_friendliness_minus,Text,,"Зменшує альянс фракції на 10."
dev_tooltip_friendliness_plus,Text,,"Збільшує альянс фракції на 10."
dev_tooltip_gender,Text,,"Перемикає стать спавненого ворога."
dev_tooltip_give_birth_animal,Text,,"Завершує вагітність у самки тварини при натисканні миші."
dev_tooltip_ground_grid_nodes,Text,,"Перемикає візуалізацію нод для сітки землі"
dev_tooltip_hunt_animals,Text,,"Позначає всіх тварин для полювання."
dev_tooltip_hunt_workers,Text,,"НЕ МАЄ НІЧОГО"
dev_tooltip_inflict_wound,Text,,"Наносить обрану рану поселенцю при натисканні миші."
dev_tooltip_instant_dig,Text,,"Перемикає між миттєвим та звичайним копанням."
dev_tooltip_kill_all_animals,Text,,"Убиває всіх тварин на карті."
dev_tooltip_kill_all_fish,Text,,"Убиває всю рибу на карті."
dev_tooltip_kill_enemies,Text,,"Убиває всіх ворогів на карті."
dev_tooltip_kill_piles,Text,,"Знищує всі купи на карті."
dev_tooltip_kill_plants,Text,,"Знищує всі рослини на карті."
dev_tooltip_ladder_falldown,Text,,"Штовхає істоту з драбини."
dev_tooltip_make_npc_leave,Text,,"Змушує NPC покинути карту."
dev_tooltip_mark_for_roping,Text,,"Позначає обрану тварину для прив'язування."
dev_tooltip_marketing_mode,Text,,"Увімкнути режим маркетингу"
dev_tooltip_mood_minus,Text,,"Зменшує на 10 настрій поселенця при натисканні миші."
dev_tooltip_mood_plus,Text,,"Додає +10 до настрою поселенця при натисканні миші."
dev_tooltip_node_visualizer,Text,,"Оновлює візуалізатори нод."
dev_tooltip_particle,Text,,"Спавнить вибрану частинку (ефект) при натисканні миші."
dev_tooltip_pathing_lines,Text,,"Перемикає візуалізацію ліній шляху для дебагу."
dev_tooltip_plant,Text,,"Спавнить вибрану рослину при натисканні миші."
dev_tooltip_plant_next_phase,Text,,"Переводить вибрану рослину на наступну фазу її росту."
dev_tooltip_production_speed_max,Text,,"Встановлює множник швидкості виробництва на 50."
dev_tooltip_production_speed_normal,Text,,"Встановлює множник швидкості виробництва на 1."
dev_tooltip_random_item,Text,,"Спавнить 10 випадкових предметів при натисканні миші."
dev_tooltip_recount_haul_piles,Text,,"Перераховує всі купи на карті."
dev_tooltip_recount_piles,Text,,"Перераховує всі купи на карті."
dev_tooltip_refresh_nodes,Text,,"Оновлює всі ноди."
dev_tooltip_remove_worker,Text,,"Натисніть на поселенця, щоб вбити його."
dev_tooltip_reset_taming_and_training,Text,,"Скидає таймери приручення та тренування тварин при натисканні миші."
dev_tooltip_reset_traps,Text,,"Скидає пастки при натисканні миші."
dev_tooltip_reset_workers,Text,,"Скидає стан всіх поселенців (НЕ МАЄ ЕФЕКТУ)"
dev_tooltip_resource,Text,,"Спавнить максимальну кількість вибраного ресурсу при натисканні миші."
dev_tooltip_resourceCtg,Text,,"Спавнить всі ресурси з вибраної категорії при натисканні миші."
dev_tooltip_revert_mining_speed,Text,,"Скидає швидкість видобутку до нормального рівня."
dev_tooltip_schedule_event_group,Text,,"Запланує випадкову подію з вибраної групи."
dev_tooltip_set_domestic,Text,,"Встановлює тварину як домашню при натисканні миші."
dev_tooltip_set_freshness_0,Text,,"Встановлює свіжість для куп та куп на землі на 0."
dev_tooltip_set_freshness_1,Text,,"Встановлює свіжість для куп та куп на землі на 1."
dev_tooltip_set_freshness_100,Text,,"Встановлює свіжість для куп та куп на землі на 100."
dev_tooltip_set_health_0,Text,,"Встановлює рівень здоров'я для істот, рослин чи ресурсів на 0."
dev_tooltip_set_health_1,Text,,"Встановлює рівень здоров'я для істот, рослин чи ресурсів на 1."
dev_tooltip_set_health_100,Text,,"Встановлює рівень здоров'я для істот, рослин чи ресурсів на 100."
dev_tooltip_set_hunger_-100,Text,,"Встановлює голод тварини на «Голодна». "
dev_tooltip_set_hunger_1,Text,,"Встановлює голод тварини на «Недіоситна»."
dev_tooltip_set_hunger_100,Text,,"Встановлює голод істоти на рівень 'Повний'."
dev_tooltip_set_hunger_50,Text,,"Встановлює голод істоти на рівень 'Голодний'."
dev_tooltip_set_interaction_event_chance_always,Text,,"Встановлює шанс події взаємодії на 100%."
dev_tooltip_set_interaction_event_chance_default,Text,,"Скидає шанс події взаємодії до стандартного."
dev_tooltip_set_low_fuel,Text,,"Встановлює рівень палива на дуже низький при натисканні."
dev_tooltip_set_npc_behaviour,Text,,"Встановлює поведінку NPC при натисканні."
dev_tooltip_set_npc_faction,Text,,"Встановлює фракцію NPC при наведенні."
dev_tooltip_set_pet,Text,,"Встановлює тварину як домашнього улюбленця при натисканні."
dev_tooltip_set_pregnant_animal,Text,,"Примусово викликає вагітність у самки тварини при натисканні."
dev_tooltip_set_season,Text,,"Переводить час на вибраний сезон."
dev_tooltip_set_time_of_day,Text,,"Змінює час доби на вибраний."
dev_tooltip_set_weather_event,Text,,"Запускає вибране погодне явище."
dev_tooltip_set_wild,Text,,"Встановлює тварину як дику при натисканні."
dev_tooltip_set_wild_aggro,Text,,"Встановлює тварину як агресивну та дику при натисканні."
dev_tooltip_set_worker_sleep_1,Text,,"Встановлює рівень сну істоти на 1, якщо є такий показник."
dev_tooltip_set_worker_sleep_100,Text,,"Встановлює рівень сну істоти на 100, якщо є такий показник."
dev_tooltip_set_worker_sleep_50,Text,,"Встановлює рівень сну істоти на 50, якщо є такий показник."
dev_tooltip_set_worker_stats,Text,,"Змінює статистику поселенця при натисканні на нього."
dev_tooltip_skill,Text,,"Змінює цю навичку у поселенця на вказану кількість при натисканні."
dev_tooltip_spawn_animal,Text,,"Призводить до появи тварини при натисканні."
dev_tooltip_spawn_blank_npc,Text,,"Призводить до появи порожнього NPC при натисканні."
dev_tooltip_spawn_enemy,Text,,"Призводить до появи ворога при натисканні."
dev_tooltip_spawn_event,Text,,"Запускає вибрану подію."
dev_tooltip_spawn_fish,Text,,"Призводить до появи риби при натисканні."
dev_tooltip_spawn_item,Text,,"Призводить до появи предмета при натисканні."
dev_tooltip_spawn_item_quality,Text,,"Призводить до появи предмета вибраної якості при натисканні."
dev_tooltip_spawn_particle_system,Text,,"Призводить до появи вибраної системи частинок (ефекту) при натисканні."
dev_tooltip_spawn_plant,Text,,"Призводить до появи рослини при натисканні."
dev_tooltip_spawn_resource,Text,,"Призводить до появи ресурсу при натисканні."
dev_tooltip_spawn_resource_ctg,Text,,"Призводить до появи всіх ресурсів з вибраної категорії при натисканні."
dev_tooltip_spawn_trader,Text,,"Призводить до появи випадкового торговця при натисканні."
dev_tooltip_spawn_trader_bodyguards,Text,,"Призводить до появи випадкового торговця з охороною при натисканні."
dev_tooltip_spawn_trebuchet,Text,,"Призводить до появи треБУШЕТУ при натисканні."
dev_tooltip_spawn_worker_1,Text,,"Призводить до появи 1 поселенця при натисканні."
dev_tooltip_spawn_worker_10,Text,,"Призводить до появи 10 поселенців при натисканні."
dev_tooltip_stat_set,Text,,"Встановлює вибрану статистику на обраний рівень для поселенця."
dev_tooltip_test_remove_warnings,Text,,"Тимчасово видаляє всі попередження."
dev_tooltip_test_update_warnings,Text,,"Оновлює попередження."
dev_tooltip_thunder,Text,,"Натискайте, щоб викликати удар блискавки (від грози)."
dev_tooltip_toggle_Invulnerability_all,Text,,"Включає/вимикає невразливість для всіх ваших поселенців."
dev_tooltip_toggle_all_visual_debug,Text,,"Включає/вимикає всі візуальні налаштування відлагодження. (Якщо деякі з наступних вимкнені, вам потрібно їх включити, ця опція не повторно увімкне їх.)"
dev_tooltip_toggle_alt_camera,Text,,"Перемикає режим камери зі стандартного на ізометричний."
dev_tooltip_toggle_combat_damage_popup,Text,,"Перемикає відображення бойових чисел."
dev_tooltip_toggle_invurnelability,Text,,"Перемикає невразливість для будь-якої істоти, на яку ви натискаєте."
dev_tooltip_toggle_player_voxel_info,Text,,"Перемикає інформацію про вокселі для гравця."
dev_tooltip_toggle_reachability,Text,,"Перемикає візуальні налаштування відлагодження досяжності."
dev_tooltip_toggle_regions,Text,,"Перемикає візуальні налаштування відлагодження для регіонів."
dev_tooltip_toggle_relocate_piles,Text,,"Перемикає візуальні налаштування відлагодження для переміщення купок."
dev_tooltip_toggle_structure_preset_panel,Text,,"Перемикає панель попередніх налаштувань конструкцій."
dev_tooltip_toggle_ui,Text,,"Перемикає інтерфейс гри увімкнено/вимкнено."
dev_tooltip_toggle_visual_proximity,Text,,"Перемикає візуальні налаштування відлагодження для наближення."
dev_tooltip_toggle_water_debug_ui,Text,,"Перемикає інтерфейс відлагодження води та інформацію."
dev_tooltip_trigger_traps,Text,,"Запускає пастку при натисканні."
dev_tooltip_try_fish_spawn,Text,,"Призводить до появи ще однієї риби десь на мапі, якщо можливо."
dev_tooltip_unfaint_worker,Text,,"Пробуджує поселенця від втрати свідомості при натисканні."
dev_tooltip_voxel_info,Text,,"Відображає інформацію про поточний вибраний воксель."
dev_tooltip_weather_date_time,Text,,"Змінює погоду та час."
dev_tooltip_weather_view,Text,,"Перемикає панель інформації про погоду. Вона показує погодні події для всього сезону."
dev_tooltip_wild_aggressive_animals,Text,,"Призводить до появи вибраної тварини як дика агресивна при натисканні."
dev_tooltip_wound_worker,Text,,"Натискайте на поселенця, щоб поранити його."
dev_trading,Text,,"Торгівля"
dev_traps,Text,,"Пастки"
dev_trebuchet_spawn,Text,,"Виберіть катапульту для спауну:"
dev_trigger_trap,Text,,"Активувати пастку в точці"
dev_try_fish_spawn,Text,,"Спавнити нову рибу"
dev_unfaint_worker,Text,,"Прокинути поселенця"
dev_update_node_visualizer,Text,,"Оновити візуалізатор вузлів"
dev_update_warning,Text,,"Оновити попередження"
dev_visual_debug,Text,,"Візуальний дебаг"
dev_voxel_info,Text,,"Показати інформацію про воксель"
dev_warning_messages,Text,,"Повідомлення попереджень"
dev_water_debug,Text,,"Перемкнути водний дебаг UI"
dev_weather_time,Text,,"Погода та час"
dev_weather_view,Text,,"Показати інформацію про погоду"
dev_wild,Text,,"Встановити дикою"
dev_wild_aggressive,Text,,"Встановити агресивною дикою"
dev_wild_aggressive_animals,Text,,"Агресивні дикі тварини"
dev_wild_animals,Text,,"Дикі тварини"
dev_workers,Text,,"Поселенці"
dev_wound_worker,Text,,"Поранити поселенця"
dialogOptionEffect_AnimalRaidImminent,Text,,"<style=DefaultRed>Зграя диких тварин наближається до вашого поселення. Вона залишить місце через кілька днів. Може бути краще залишити їх у спокої, аніж ризикувати, що хтось постраждає.</style>"
dialogOptionEffect_Autumn,Text,,"<b>Осінь</b>\n - Помірні температури. Часті дощі та туман. Можливі грози та град."
dialogOptionEffect_NegativeMood,Text,,"<style=DefaultRed>Деякі поселенці можуть отримати негативний модифікатор настрою</style>"
